Relatório do Histórico de Negociação;;;;;;;;;;;;;;
Nome:;;;Standard;;;;;;;;;;;
Conta:;;;198120554 (USD, Exness-MT5Trial11, demo, Hedge);;;;;;;;;;;
Empresa:;;;Exness Technologies Ltd;;;;;;;;;;;
Data:;;;2026.02.26 12:08;;;;;;;;;;;
Posições;;;;;;;;;;;;;;
Horário;Position;Ativo;Tipo;Volume;Preço;S / L;T / P;Horário;Preço;Comissão;Swap;Lucro;;
2026.02.26 13:59:50;321645763;XAGUSDm;sell;out;0.04; 87,126;433781331;0,00;0,00;0,00; 1,00;10 507,23;[sl 87.126];
2026.02.26 13:59:51;321645802;XAGUSDm;buy;in;0.04; 87,166;433781347;0,00;0,00;0,00;0,00;10 507,23;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:04:00;321651688;XAGUSDm;sell;out;0.04; 86,666;433789246;0,00;0,00;0,00;- 100,00;10 407,23;[sl 86.666];
2026.02.26 14:04:01;321651746;XAGUSDm;buy;in;0.04; 86,725;433789335;0,00;0,00;0,00;0,00;10 407,23;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:30:16;321679127;XAGUSDm;sell;out;0.04; 86,378;433827067;0,00;0,00;0,00;- 69,40;10 337,83;[sl 86.378];
2026.02.26 14:40:00;321707976;NFLXm;buy;in;1.64; 83,68;433865538;0,00;0,00;0,00;0,00;10 337,83;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:40:07;321708319;INTUm;buy;in;0.5; 397,28;433866045;0,00;0,00;0,00;0,00;10 337,83;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:40:07;321708435;INTUm;sell;out;0.5; 396,01;433866154;0,00;0,00;0,00;- 63,50;10 274,33;;
2026.02.26 14:40:08;321708468;INTUm;buy;in;0.5; 397,19;433866178;0,00;0,00;0,00;0,00;10 274,33;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:40:09;321708542;INTUm;sell;out;0.5; 395,20;433866276;0,00;0,00;0,00;- 99,50;10 174,83;;
2026.02.26 14:40:10;321708593;INTUm;buy;in;0.49; 396,50;433866346;0,00;0,00;0,00;0,00;10 174,83;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:40:11;321708638;INTUm;sell;out;0.49; 395,02;433866403;0,00;0,00;0,00;- 72,52;10 102,31;;
2026.02.26 14:47:41;321725808;NFLXm;sell;out;1.64; 83,97;433888851;0,00;0,00;0,00; 47,56;10 149,87;;
2026.02.26 14:47:42;321725816;NFLXm;buy;in;1.39; 84,37;433888864;0,00;0,00;0,00;0,00;10 149,87;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:47:43;321725843;NFLXm;sell;out;1.39; 83,98;433888896;0,00;0,00;0,00;- 54,21;10 095,66;;
2026.02.26 14:47:44;321725864;NFLXm;buy;in;1.38; 84,33;433888924;0,00;0,00;0,00;0,00;10 095,66;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:47:48;321726013;NFLXm;sell;out;1.38; 83,96;433889117;0,00;0,00;0,00;- 51,06;10 044,60;;
2026.02.26 14:47:52;321726074;NFLXm;buy;in;1.37; 84,32;433889203;0,00;0,00;0,00;0,00;10 044,60;KAMA Trend (Filtered) [Adaptive;
2026.02.26 14:50:06;321729502;NFLXm;sell;out;1.37; 84,02;433894078;0,00;0,00;0,00;- 41,10;10 003,50;;
;;;;;;;;0,00;0,00;0,00;- 536,53;10 003,50;;
Saldo:;;;10 003,50;;;Margem Livre:;;;10 003,50;;;;;
Facilidade do Crédito:;;;0,00;;;Margem:;;;0,00;;;;;
Flutuante P/L:;;;0,00;;;Nível de Margem:;;;0,00%;;;;;
Capital Líquido:;;;10 003,50;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Resultados;;;;;;;;;;;;;;
Lucro Líquido Total:;;;- 536,53;Lucro Bruto:;;; 48,56;Perda Bruta:;;;- 585,09;;;
Fator de Lucro:;;; 0,08;Retorno Esperado (Payoff):;;;- 48,78;;;;;;;
Fator de Recuperação:;;;- 1,00;Índice de Sharpe:;;;- 1,19;;;;;;;
Rebaixamento do Saldo:;;;;;;;;;;;;;;
Rebaixamento Absoluto do Saldo :;;; 536,53;Rebaixamento Máximo do Saldo :;;;536.53 (5.09%);Rebaixamento Relativo do Saldo :;;;5.09% (536.53);;;
Total de Negociações:;;; 11;Posições Vendidas (% e ganhos):;;;0 (0.00%);Posições Compradas (% de ganhos):;;;11 (18.18%);;;
;;;;Negociações com Lucro (% of total):;;;2 (18.18%);Negociações com Perda (% of total):;;;9 (81.82%);;;
;;;;Maior lucro da negociação:;;; 47,56;Maior perda na Negociação:;;;- 100,00;;;
;;;;Média lucro da negociação:;;; 24,28;Média perda na Negociação:;;;- 65,01;;;
;;;;Máximo ganhos consecutivos ($):;;;1 (47.56);Máximo perdas consecutivas ($):;;;5 (-404.92);;;
;;;;Máxima lucro consecutivo (contagem):;;;47.56 (1);Máxima perda consecutiva (contagem):;;;-404.92 (5);;;
;;;;Média ganhos consecutivos:;;; 1;Média perdas consecutivas:;;; 3;;;
